image_name,x1,x2,y1,y2
1467891670691DSC_0582.png,41.0,564.0,47.0,415.0
1475151786691DSC00560.png,208.0,433.0,91.0,411.0
1480334114405_R2A3620.png,164.0,459.0,77.0,399.0
JPEG_20160712_161047_1000606860114.png,154.0,477.0,28.0,395.0
JPEG_20160403_174522_-1137349501.png,141.0,571.0,52.0,373.0
1472901299234DSC_3812.png,31.0,600.0,92.0,430.0
JPEG_20160711_122349_1000194202357.png,186.0,442.0,32.0,431.0
1477045740188DSC_8170.png,48.0,604.0,27.0,410.0
14581995558443A.png,153.0,496.0,124.0,378.0
JPEG_20161116_182832_100030341860.png,124.0,479.0,90.0,378.0
JPEG_20160530_192334_1000619661289.png,224.0,431.0,129.0,380.0
JPEG_20161125_191952_1000927237615.png,81.0,559.0,160.0,355.0
JPEG_20160628_134746_100032377535.png,75.0,513.0,134.0,374.0
1480939320625_R2A1891.png,116.0,472.0,70.0,387.0
147443927352511472729987648-Roadster-Men-Blue-Slim-Fit-Mid-Rise-Clean-Look-Jeans-4651472729987609-2.png,43.0,598.0,121.0,381.0
JPEG_20161121_172758_1000839911129.png,68.0,581.0,84.0,386.0
JPEG_20161129_143202_1000894632165.png,87.0,485.0,110.0,411.0
JPEG_20161125_141831_1000294007448.png,76.0,532.0,17.0,425.0
JPEG_20161117_131149_1000923828142.png,164.0,462.0,103.0,387.0
1469623981884JPEG_20160628_124209_1000257249432.png,184.0,416.0,104.0,412.0
1472628968429w_molokini_ii_blk_grl_03.png,98.0,502.0,130.0,397.0
JPEG_20160831_090533_1000336033861.png,70.0,560.0,13.0,438.0
JPEG_20160527_164502_1000310382860.png,111.0,495.0,96.0,375.0
JPEG_20160621_103352_1000549045846.png,147.0,565.0,75.0,390.0
1476528074556Untitled4.png,155.0,460.0,12.0,441.0
1480964822711IMG_3035.png,115.0,500.0,234.0,418.0
JPEG_20161123_170728_1000761896744.png,251.0,409.0,55.0,397.0
1476773279562DSC_8615.png,52.0,603.0,43.0,430.0
1469433305869DSC_0033.png,89.0,595.0,49.0,422.0
1472821248194DSC_2930.png,37.0,573.0,69.0,361.0
147444083818811472209501113-Roadster-Men-Navy-Blue-Printed-Round-Neck-T-Shirt-5991472209500910-4.png,34.0,618.0,106.0,376.0
1479750872610SpringField16-11-201610499.png,64.0,604.0,143.0,386.0
1480944525953_R2A1980.png,164.0,534.0,162.0,398.0
JPEG_20161208_144423_1000780002708.png,80.0,576.0,136.0,370.0
1467979429468DSC_0058.png,90.0,568.0,134.0,353.0
1469255167073DSC_0346.png,62.0,611.0,81.0,423.0
1468885065003DSC_0390.png,73.0,542.0,86.0,408.0
1474637936707DSC06844.png,28.0,607.0,54.0,337.0
JPEG_20160810_152538_1000534824862.png,159.0,450.0,20.0,426.0
1473418104422black-khloe-modal-midi-dress3.png,50.0,611.0,123.0,364.0
JPEG_20160513_125940_1000549738784.png,32.0,596.0,158.0,383.0
1474630562288DSC08174.png,31.0,610.0,93.0,373.0
1472044297722DSC_0444.png,101.0,598.0,36.0,368.0
1480516814377E-mazingshawls29-11-201618367.png,197.0,445.0,122.0,355.0
1471628051330AddProductView.png,68.0,574.0,56.0,399.0
1478945654545eMazingShawls3720.png,36.0,614.0,144.0,387.0
1478947686456eMazingShawls3775.png,33.0,611.0,132.0,384.0
JPEG_20160711_112931_1000790648239.png,232.0,405.0,50.0,405.0
1474285179478PS-440196.png,153.0,517.0,122.0,372.0
JPEG_20161104_131946_1000989886724.png,46.0,600.0,41.0,410.0
147742624416620161025_142336.png,77.0,564.0,52.0,332.0
1480605949434_R2A6043.png,110.0,525.0,69.0,418.0
1469441347577DSC_0153.png,68.0,529.0,12.0,434.0
1468497064664DSC_0013.png,64.0,577.0,40.0,412.0
147444920462511469010981406-Mast--Harbour-Women-Black-Wedges--1821469010981220-1.png,64.0,576.0,18.0,400.0
JPEG_20160820_160818_1000529574766.png,211.0,441.0,39.0,430.0
147336093666811.png,152.0,451.0,44.0,411.0
1473231545775DeeplearnS11336.png,27.0,589.0,84.0,360.0
1473225536011PNG_9682.png,152.0,501.0,25.0,405.0
JPEG_20160421_133640_100017912101.png,74.0,558.0,167.0,354.0
1470749947263DSC_0019.png,60.0,585.0,50.0,430.0
JPEG_20160711_160644_1000143316461.png,124.0,469.0,65.0,383.0
JPEG_20160622_101942_1000586477601.png,128.0,560.0,128.0,381.0
1474634564301DSC05925.png,56.0,590.0,99.0,383.0
JPEG_20160621_113529_1000866923181.png,138.0,546.0,113.0,372.0
1474637521667DSC06781.png,79.0,598.0,93.0,388.0
1467740066693DSC_0101.png,180.0,458.0,87.0,424.0
147394552763411472560291748-Louis-Philippe-Brown-Ultra-Fit-Single-Breasted-Blazer-3361472560291540-4.png,48.0,612.0,154.0,393.0
JPEG_20161202_174452_1000344284118.png,40.0,603.0,76.0,381.0
14765286186304.png,69.0,584.0,12.0,458.0
JPEG_20160526_165723_1000363196839.png,102.0,553.0,79.0,384.0
1472628938044w_molokini_ii_blk_glry_01.png,134.0,500.0,147.0,394.0
1468411767118DSC_0377.png,65.0,595.0,11.0,420.0
147323549746360143_XXX_v1.png,122.0,471.0,91.0,390.0
1475559170722navy-camoflauge-floral-wasting-time-dress.png,13.0,618.0,34.0,392.0
1468665307453JPEG_20160712_161218_1000974583482.png,134.0,545.0,95.0,382.0
1470922101907DSC_0237.png,18.0,615.0,186.0,395.0
JPEG_20160513_143421_1000880011272.png,189.0,501.0,87.0,414.0
JPEG_20161125_192936_100072040865.png,155.0,570.0,120.0,396.0
147444115153611472727530823-Roadster-Men-Grey-Melange-Printed-T-Shirt-9021472727530896-2.png,33.0,599.0,136.0,406.0
1476530709615DSC_48571.png,150.0,468.0,24.0,439.0
1479453153634Sin16-11-201611274.png,69.0,589.0,133.0,380.0
JPEG_20161102_161838_1000553142087.png,111.0,484.0,45.0,409.0
1473837927553DSC_5901.png,72.0,570.0,95.0,387.0
1467982262655DSC_0020.png,57.0,596.0,49.0,434.0
1473418082472black-kasey-v-neck-shift-dress.png,41.0,612.0,109.0,398.0
1469431208654DSC_0006.png,58.0,569.0,85.0,376.0
JPEG_20160627_111128_1000792292917.png,107.0,575.0,125.0,360.0
1473749861454IMG_1145.png,98.0,595.0,39.0,435.0
1472040810208w_peg_33_white_black_pink_03.png,109.0,549.0,120.0,402.0
1468846444578DSC_0272.png,55.0,566.0,125.0,407.0
JPEG_20161124_163039_1000728943777.png,153.0,480.0,24.0,405.0
JPEG_20160820_110116_1000778504855.png,218.0,456.0,113.0,400.0
1474711408767G2.png,141.0,465.0,99.0,354.0
1473749624462IMG_1174.png,53.0,603.0,152.0,407.0
1476860487551DSC_5649.png,23.0,594.0,13.0,439.0
1473231439135DeeplearnS11429.png,81.0,568.0,133.0,376.0
1472132432220DSC_0059.png,35.0,545.0,45.0,426.0
1475059845896DSC02404.png,29.0,611.0,90.0,345.0
JPEG_20161205_114001_1000254306960.png,68.0,521.0,20.0,423.0
1473750824594IMG_1031.png,96.0,579.0,139.0,371.0
1479158173735SinDenim12-11-20166751.png,24.0,603.0,71.0,404.0
JPEG_20161123_173647_1000600345662.png,249.0,412.0,36.0,411.0
JPEG_20161123_165707_1000305061541.png,171.0,460.0,36.0,405.0
1473231549663DeeplearnS11338.png,106.0,600.0,127.0,431.0
JPEG_20161126_121740_1000725504928.png,123.0,581.0,114.0,402.0
1473660967213DeeplearnS11248.png,58.0,587.0,132.0,382.0
1476785865049DSC_6784.png,93.0,551.0,176.0,387.0
1472288003019DSC_1710.png,42.0,579.0,41.0,418.0
JPEG_20160713_153002_100025423653.png,38.0,612.0,107.0,380.0
1472456863502DSC_1254.png,52.0,603.0,71.0,383.0
1474701525494DSC06953.png,228.0,431.0,100.0,373.0
147185858229820160817_145402.png,167.0,450.0,101.0,402.0
147437379273711473139153532-Roadster-Blue-Top-8161473139153276-2.png,48.0,614.0,83.0,404.0
JPEG_20160608_111129_1000168336490.png,193.0,464.0,135.0,387.0
1476883971112Untitled1.png,32.0,583.0,12.0,448.0
JPEG_20161123_174231_1000104878323.png,258.0,421.0,117.0,395.0
JPEG_20160810_110735_1000281841347.png,134.0,527.0,150.0,367.0
JPEG_20161028_151027_1000789295535.png,37.0,608.0,30.0,412.0
JPEG_20161126_123417_1000757906790.png,122.0,432.0,24.0,426.0
1469524779746DSC_0463.png,136.0,467.0,133.0,374.0
1479747294084SpringField16-11-201610820.png,19.0,619.0,114.0,400.0
JPEG_20160607_164354_1000425608121.png,51.0,604.0,32.0,418.0
1473418133263black-last-summer-maxi-dress2.png,37.0,613.0,154.0,380.0
147742613168120161025_160256.png,78.0,561.0,12.0,379.0
1476780044882DSC_6482.png,57.0,582.0,17.0,430.0
1468843548786DSC_0007.png,139.0,472.0,21.0,384.0
1478446796029DSC_2718.png,44.0,583.0,47.0,424.0
147444973626711473239803034-Mast--Harbour-Men-Blue-Printed-Regular-Boat-Shoes-3651473239802717-1.png,57.0,594.0,23.0,416.0
1481266172592DSC_0484.png,34.0,543.0,91.0,398.0
1467785811314DSC_0049.png,190.0,450.0,133.0,365.0
1477053628718DSC_8356.png,58.0,601.0,27.0,409.0
1472550995651DSC_1984.png,14.0,627.0,31.0,442.0
JPEG_20160524_153623_100059952343.png,133.0,463.0,52.0,433.0
1467891465126DSC_0648.png,33.0,602.0,138.0,336.0
JPEG_20160711_152752_1000672215282.png,166.0,465.0,40.0,436.0
